nom,"nom de la râgion de patrimoine canadien, anglais","nom de la râgion de patrimoine canadien, franàais","nom de la province, anglais","nom de la province, franàais","nom de la râgion âconomique, anglais","nom de la râgion âconomique, franàais",latitude,longitude
name,"Canadian Heritage region name, english","Canadian Heritage region name, french","province name, english","province name, french","economic region name, english","economic region name, french",latitude,longitude
Nackawic Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.992936,-67.24
Nackawic Senior High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.992936,-67.24
Nashwaaksis Memorial School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.980906,-66.660071
Nashwaaksis Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.986007,-66.648504
New Maryland Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.896313,-66.6881
Oromocto High School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.842401,-66.471078
Park Street School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.980742,-66.647272
Priestman Street School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.943035,-66.660892
Ridgeview Middle School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.84739,-66.476385
Royal Road School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.996041,-66.679168
Summerhill Street Elementary School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.845117,-66.495483
Sunbury West School,Atlantic Region,Râgion de l'Atlantique,New Brunswick,Nouveau-Brunswick,Fredericton - Oromocto,Fredericton - Oromocto,45.658278,-66.605516
